site,exp,block,sample.code,treat,treat1,treat2,MBC,BG,CB,NAG,PHOS,LAP,POX,PER
2,2,1,11,N25,N25,P0,371.53,248.11,54.43,30.51,339.39,209.22,501.72,282.46
2,2,2,12,N25,N25,P0,383.44,155.78,26.23,14.16,397.31,175.82,606.68,222.41
2,2,3,13,N25,N25,P0,844.89,216.05,59.62,14.3,319.32,122.37,447.06,96.85
2,2,4,14,N25,N25,P0,773.66,210.94,29.96,8.86,273.51,103.16,530.51,159.59
2,2,5,15,N25,N25,P0,478.07,233.87,38.21,11.94,348.66,133.57,533.5,97.9
2,2,1,16,N50,N50,P0,821.85,195.14,41.55,24.34,328.89,104.69,499.48,112.11
2,2,2,17,N50,N50,P0,455.29,263.81,57.08,17.74,299.56,160.41,505.61,103.35
2,2,3,18,N50,N50,P0,757.97,226.35,42.63,17,283.02,105.57,560.77,126.98
2,2,4,19,N50,N50,P0,720.07,144.38,22.96,9.65,333.54,118.17,524.24,244.5
2,2,5,20,N50,N50,P0,814.67,170.54,27.64,14.14,423.69,161.7,631.76,256.51
2,2,1,21,P50,N0,P50,477.9,232.7,47.52,13.96,372.34,126.86,692.75,258.68
2,2,2,22,P50,N0,P50,693.15,97.13,15.91,9.05,299.22,111.5,429.25,222.14
2,2,3,23,P50,N0,P50,700.71,416.26,90.75,22.38,406.29,257.68,712.18,391.19
2,2,4,24,P50,N0,P50,552.5,167.59,28.11,14.22,283.77,169.34,501.79,257.52
2,2,5,25,P50,N0,P50,495.27,172.13,31.12,15.82,404.96,158.15,548.07,325.8
2,2,1,26,N100P50,N100,P50,913.46,136.92,19.61,12.21,359.68,130.57,457.37,297.73
2,2,2,27,N100P50,N100,P50,724.88,150.9,25.71,15.69,407.99,147.51,610.64,332.77
2,2,3,28,N100P50,N100,P50,521.32,188.29,42.75,12.35,349.21,132.92,526.34,208.96
2,2,4,29,N100P50,N100,P50,492.37,323.82,67.84,16.55,270.04,185.13,647.95,391.21
2,2,5,30,N100P50,N100,P50,1039.33,148.1,23.83,12.9,311.39,135.71,558.07,333.3
